system:index,count,theft_risk,.geo
+421734+149659,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.77010943810086,26.888283252737104]}"
+421734+149734,3,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.77010943810086,26.901578318942075]}"
+421735+149855,2,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.77019926962927,26.92349721187459]}"
+421736+149622,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.77046876421451,26.88163571963462]}"
+421736+149851,6,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.77028910115769,26.92268872811888]}"
+421736+149856,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.77046876421451,26.923676874931413]}"
+421736+149890,15,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.77025316854632,26.929246429692956]}"
+421737+149641,4,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.77055859574293,26.884959486185863]}"
+421737+149872,8,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.77051367997872,26.92634936290167]}"
+421738+149633,6,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.77070831495695,26.88343235020286]}"
+421738+149799,5,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.77064842727134,26.913256417635626]}"
+421739+149736,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.77100775338499,26.902117308112544]}"
+421739+149782,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.77100775338499,26.910381808726445]}"
+421740+149659,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.7711874164418,26.888283252737104]}"
+421740+149671,2,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.7711874164418,26.89034937789058]}"
+421740+149795,2,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.77109758491339,26.912717428465157]}"
+421741+149873,2,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.77127724797022,26.92673114689742]}"
+421742+149710,2,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.77145691102704,26.897446068635123]}"
+421742+149794,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.77154674255546,26.91253776540833]}"
+421742+149882,4,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.77145691102704,26.928258282880424]}"
+421742+149891,2,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.77145691102704,26.92996508192025]}"
+421743+149628,3,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.77166651792668,26.88259392260435]}"
+421743+149647,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.77172640561228,26.886127296055218]}"
+421744+149686,2,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.7718162371407,26.89313415527135]}"
+421744+149688,2,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.7718162371407,26.893493481384997]}"
